edition,site,stage_grouping_scope,histology,rule_type,T,N,M,uicc_stage,ignored_components,rule_expression,source_file,source_pages
7,Breast,both,all,M determines stage,Any,Any,M1,IV,"T, N",M = M1 -> Stage IV,uicc/UICC_7th edition.pdf,191
7,Breast,both,all,N and M determine stage,Any,"N3, N3a, N3b, N3c",M0,IIIC,T,"N = N3, N3a, N3b, N3c; M = M0 -> Stage IIIC",uicc/UICC_7th edition.pdf,191
7,Colorectal,both,all,M determines stage,Any,Any,M1,IV,"T, N",M = M1 -> Stage IV,uicc/UICC_7th edition.pdf,104
7,Colorectal,both,all,M determines stage,Any,Any,M1a,IVA,"T, N",M = M1a -> Stage IVA,uicc/UICC_7th edition.pdf,104
7,Colorectal,both,all,M determines stage,Any,Any,M1b,IVB,"T, N",M = M1b -> Stage IVB,uicc/UICC_7th edition.pdf,104
7,Lung,both,all,M determines stage,Any,Any,"M1, M1a, M1b",IV,"T, N","M = M1, M1a, M1b -> Stage IV",uicc/UICC_7th edition.pdf,143
7,Lung,both,all,N and M determine stage,Any,N3,M0,IIIB,T,N = N3; M = M0 -> Stage IIIB,uicc/UICC_7th edition.pdf,143
7,Oesophagus,both,all,M determines stage,Any,Any,M1,IV,"T, N",M = M1 -> Stage IV,uicc/UICC_7th edition.pdf,70
7,Oesophagus,both,all,N and M determine stage,Any,N3,M0,IIIC,T,N = N3; M = M0 -> Stage IIIC,uicc/UICC_7th edition.pdf,70
7,Oesophagus,both,all,T and M determine stage,T4b,Any,M0,IIIC,N,T = T4b; M = M0 -> Stage IIIC,uicc/UICC_7th edition.pdf,70
7,Prostate,both,adenocarcinoma,M determines stage,Any,Any,"M1, M1a, M1b, M1c",IV,"T, N","M = M1, M1a, M1b, M1c -> Stage IV",uicc/UICC_7th edition.pdf,246
7,Prostate,both,adenocarcinoma,N and M determine stage,Any,N1,M0,IV,T,N = N1; M = M0 -> Stage IV,uicc/UICC_7th edition.pdf,246
7,Prostate,both,adenocarcinoma,T and M determine stage,T4,Any,M0,IV,N,T = T4; M = M0 -> Stage IV,uicc/UICC_7th edition.pdf,246
7,Skin melanoma,pathological,all,M determines stage,Any,Any,"M1, M1a, M1b, M1c",IV,"T, N","M = M1, M1a, M1b, M1c -> Stage IV",uicc/UICC_7th edition.pdf,175
7,Skin melanoma,pathological,all,N and M determine stage,Any,N3,M0,IIIC,T,N = N3; M = M0 -> Stage IIIC,uicc/UICC_7th edition.pdf,175
7,Urinary bladder,both,carcinoma,M determines stage,Any,Any,"M1, M1a, M1b",IV,"T, N","M = M1, M1a, M1b -> Stage IV",uicc/UICC_7th edition.pdf,264
7,Urinary bladder,both,carcinoma,N and M determine stage,Any,"N1, N2, N3",M0,IV,T,"N = N1, N2, N3; M = M0 -> Stage IV",uicc/UICC_7th edition.pdf,264
7,Urinary bladder,both,carcinoma,T and M determine stage,T4b,Any,M0,IV,N,T = T4b; M = M0 -> Stage IV,uicc/UICC_7th edition.pdf,264
8,Breast,both,all,M determines stage,Any,Any,M1,IV,"T, N",M = M1 -> Stage IV,uicc/UICC_8th edition.pdf; corroborated by nhs/*.pdf,151-158
8,Breast,both,all,N and M determine stage,Any,"N3, N3a, N3b, N3c",M0,IIIC,T,"N = N3, N3a, N3b, N3c; M = M0 -> Stage IIIC",uicc/UICC_8th edition.pdf; corroborated by nhs/*.pdf,151-158
8,Colorectal,both,all,M determines stage,Any,Any,M1,IV,"T, N",M = M1 -> Stage IV,uicc/UICC_8th edition.pdf; corroborated by nhs/*.pdf,73-76
8,Colorectal,both,all,M determines stage,Any,Any,M1a,IVA,"T, N",M = M1a -> Stage IVA,uicc/UICC_8th edition.pdf; corroborated by nhs/*.pdf,73-76
8,Colorectal,both,all,M determines stage,Any,Any,M1b,IVB,"T, N",M = M1b -> Stage IVB,uicc/UICC_8th edition.pdf; corroborated by nhs/*.pdf,73-76
8,Colorectal,both,all,M determines stage,Any,Any,M1c,IVC,"T, N",M = M1c -> Stage IVC,uicc/UICC_8th edition.pdf; corroborated by nhs/*.pdf,73-76
8,Lung,both,all,M determines stage,Any,Any,M1,IV,"T, N",M = M1 -> Stage IV,uicc/UICC_8th edition.pdf; corroborated by nhs/*.pdf,106-112
