rule_id,staging_system,edition,site,stage_grouping_scope,histology,T,N,M,uicc_stage,source_file,source_pages,source_table,notes
UICC7-0261,UICC TNM,7,Breast,both,all,T1,N0,M0,IA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0261,UICC TNM,7,Breast,both,all,T1a,N0,M0,IA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0261,UICC TNM,7,Breast,both,all,T1b,N0,M0,IA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0261,UICC TNM,7,Breast,both,all,T1c,N0,M0,IA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0261,UICC TNM,7,Breast,both,all,T1mi,N0,M0,IA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0264,UICC TNM,7,Breast,both,all,T2,N0,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0266,UICC TNM,7,Breast,both,all,T3,N0,M0,IIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4,N0,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4a,N0,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4b,N0,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4c,N0,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4d,N0,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0260,UICC TNM,7,Breast,both,all,Tis,N0,M0,0,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T0,N1,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1,N1,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1a,N1,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1b,N1,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1c,N1,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1mi,N1,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0265,UICC TNM,7,Breast,both,all,T2,N1,M0,IIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0268,UICC TNM,7,Breast,both,all,T3,N1,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4,N1,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4a,N1,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4b,N1,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4c,N1,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4d,N1,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T0,N1a,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1,N1a,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1a,N1a,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1b,N1a,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1c,N1a,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1mi,N1a,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0265,UICC TNM,7,Breast,both,all,T2,N1a,M0,IIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0268,UICC TNM,7,Breast,both,all,T3,N1a,M0,IIIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4,N1a,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4a,N1a,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4b,N1a,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4c,N1a,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0269,UICC TNM,7,Breast,both,all,T4d,N1a,M0,IIIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T0,N1b,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1,N1b,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1a,N1b,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1b,N1b,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1c,N1b,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0263,UICC TNM,7,Breast,both,all,T1mi,N1b,M0,IIA,uicc/UICC_7th edition.pdf,191,Stage grouping,
UICC7-0265,UICC TNM,7,Breast,both,all,T2,N1b,M0,IIB,uicc/UICC_7th edition.pdf,191,Stage grouping,
